time,lith,amp
1280,0.0,-4355.84375
1281,0.0,-4835.196696918704
1282,0.0,-5043.40234375
1283,0.0,-5043.955003187732
1284,0.0,-4814.21875
1285,0.0,-4331.557658954911
1286,0.0,-3667.4689941406255
1287,0.0,-2893.4500196453064
1288,0.0,-2063.165283203125
1289,0.0,-1230.2793325482503
1290,1.0,-458.86157226562506
1291,1.0,187.01859305980878
1292,1.0,687.887939453125
1293,0.0,1024.2732429393973
1294,0.0,1146.2602539062498
1295,0.0,1003.9347227413066
1296,1.0,687.887939453125
1297,1.0,288.71119405026286
1298,0.0,-228.85699462890625
1299,0.0,-900.0781077460085
1300,0.0,-1604.792724609375
1301,0.0,-2222.841424527337
1302,0.0,-2750.72412109375
1303,0.0,-3184.940727902469
1304,0.0,-3438.2827148437505
1305,1.0,-3423.541551807849
1306,0.0,-3209.096435546875
1307,0.0,-2863.3265628129384
1308,0.0,-2292.3515625000005
1309,0.0,-1402.2910635020216
1310,0.0,-228.85699462890625
1311,0.0,1192.238715309442
1312,0.0,2750.56396484375
1313,0.0,4335.686652504745
1314,0.0,5959.988281250001
1315,0.0,7635.850354037088
1316,0.0,9169.4140625
1317,0.0,10366.820598272727
1318,0.0,11232.91015625
1319,0.0,11772.522931326548
1320,0.0,11920.46875
1321,0.0,11611.55743876798
1322,0.0,10773.718749999998
1323,1.0,9334.88243606557
1324,1.0,7335.92578125
1325,1.0,4817.726069838603
1326,0.0,1833.819091796875
1327,0.0,-1562.2593629096796
1328,0.0,-5043.40234375
1329,0.0,-8282.502900193023
1330,0.0,-11232.250000000002
1331,0.0,-13845.332610932179
1332,0.0,-15817.613281250004
1333,0.0,-16844.95455921392
1334,0.0,-16963.542968750004
1335,1.0,-16209.565033784338
1336,1.0,-14670.863281250002
1337,1.0,-12435.280238080075
1338,1.0,-9627.9453125
1339,1.0,-6373.9879127352215
1340,1.0,-2979.91015625
1341,1.0,247.7858394913992
1342,1.0,3208.936523437501
1343,1.0,5803.378344536829
1344,0.0,7794.296875000001
1345,0.0,8944.877687037631
1346,0.0,9398.6015625
1347,0.0,9298.949283237378
1348,0.0,8711.04296875
1349,0.0,7700.004738538102
1350,0.0,6418.359375000001
1351,0.0,5018.631660534016
1352,0.0,3668.12744140625
1353,0.0,2534.152563882802
